pfull,pdisc,ownbe,ownaf,genre,month,
14.99,7.49,22273413,22891335,0,51.13,
19.99,N/A,14869820,14950456,0,144.79,
19.99,3.99,14125477,14518139,0,84.26,
4.99,3.99,13505650,13634900,0,144.79,
9.99,3.99,11501361,11914420,4,119.89,
19.99,9.99,10477170,10645119,2,60.49,
9.99,1.99,9433687,9585388,0,144.30,
9.99,1.99,9160101,9327497,4,109.49,
29.99,7.49,8745715,8981488,3,74.13,
19.99,4.99,7946504,8230038,4,67.20,
9.99,4.99,7427895,7592545,1,66.30,
4.99,1.24,7365260,7442927,0,162.79,
4.99,1.24,7250264,7320183,0,185.79,
4.99,0.99,7235232,7309588,0,192.79,
19.99,4.99,6354593,6896394,0,39.39,
9.99,1.99,6446294,6521702,0,126.79,
19.99,4.99,6307246,6363556,0,50.23,
9.99,2.49,6172959,6247531,2,76.43,
7.99,1.59,5960003,6042355,0,125.79,
9.99,1.99,5627542,5754747,0,216.56,
7.99,1.59,5420549,5464296,0,109.49,
4.99,0.99,5141752,5258345,0,211.79,
4.99,0.99,5129476,5251626,0,204.79,
4.99,0.99,5113191,5230437,0,185.79,
19.99,9.99,4840858,4884429,0,84.43,
59.99,35.99,4583808,4814658,1,19.36,
14.99,3.74,4561010,4595270,0,80.30,
14.99,9.74,4401168,4497850,1,7.13,
29.99,7.49,4236565,4438158,0,43.99,
9.99,4.99,4397911,4413609,2,73.20,
19.99,3.99,4106537,4288281,0,96.26,
19.99,4.99,4104282,4191120,1,44.66,
14.99,1.50,4105535,4165537,0,61.16,
19.99,2.99,3945442,4115406,2,66.26,
14.99,3.74,3990539,4004807,1,80.07,
19.99,9.99,3869780,3997830,1,35.46,
19.99,4.99,3937676,3984910,1,95.76,
19.99,3.94,3891076,3959586,0,76.89,
9.99,3.74,3746016,3784127,1,60.33,
9.99,9.99,2580522,3746916,4,63.76,
24.99,3.74,3688893,3746399,4,49.30,
19.99,11.99,3497233,3738647,4,16.59,
9.99,2.49,3482953,3547167,1,70.00,
19.99,2.99,3145982,3508147,3,43.53,
29.99,16.49,3217384,3434243,1,17.76,
14.99,3.74,3416561,3433726,1,43.07, 
59.99,29.99,3258471,3361113,2,12.39,
19.99,4.99,3257470,3301162,0,90.36,
39.99,19.99,3225151,3268603,0,60.56,
19.99,3.99,3102388,3259042,2,218.03,
19.99,4.99,3046519,3097537,1,50.59,
12.99,2.59,2965596,2995207,0,88.89,
14.99,2.99,2902711,2994949,4,49.99,
19.99,4.99,2849096,2918718,2,84.99,
19.99,6.89,2816777,2887968,4,46.30,
9.99,1.49,2818030,2870138,2,98.30,
9.99,1.99,2816527,2838354,0,149.79,
59.99,19.79,2787965,2830343,0,48.43,
29.99,7.49,2802998,2836545,3,68.33,
19.99,4.99,2779447,2824916,3,122.46,
19.99,4.99,2769175,2806569,0,47.69,
14.99,3.74,2770177,2797267,1,39.16,
9.99,4.49,2733098,2764449,0,34.10,
19.99,4.99,2561982,2656176,1,94.39,
19.99,12.99,2585282,2643514,4,9.23,
19.99,4.99,2507866,2632661,2,51.07,
19.99,4.99,2622862,2632144,1,79.39,
19.99,4.99,2601817,2631369,1,79.99,
14.99,3.74,2555969,2630077,1,137.62,
19.99,4.99,2541688,2592091,3,93.23,
9.99,4.99,2541438,2572968,0,75.62,
39.99,19.99,2420680,2517152,0,38.43,
9.99,4.99,2454251,2515343,1,49.53,
19.99,2.99,2476048,2500873,4,41.62,
19.99,12.99,2462269,2492604,4,22.33,
9.99,2.99,2464273,2480458,3,50.36,
29.99,11.99,2358296,2431102,4,20.49,
14.99,1.49,2388110,2430069,4,71.85,
9.99,N/A,2381095,2395701,2,156.20,
19.99,3.99,2323472,2371669,2,74.07,
9.99,2.49,2307437,2341693,4,31.79,
7.50,0.74,2255326,2289236,4,77.79,
19.99,4.99,2222746,2278642,3,109.95,
19.99,4.99,2200458,2259778,2,79.82,
14.99,3.74,2216994,2225410,3,51.85,
9.99,2.49,2213737,2221275,1,93.92,
19.99,4.99,2147345,2172694,3,81.00,
19.99,4.99,2132312,2156415,0,94.53,
19.99,9.99,2009049,2155123,1,25.85,
14.99,N/A,2126049,2133933,1,4.10,
29.99,7.49,2062162,2104733,0,68.10,
14.99,11.99,2030595,2069848,4,29.85,
19.99,4.99,2004038,2057186,3,91.53,
24.99,6.24,1982742,2031862,4,55.03,
14.99,2.99,1856973,2029536,4,30.33,
9.99,2.49,1884783,1971136,0,49.07,
39.99,24.99,1707654,1935993,2,18.23,
14.99,2.99,1843945,1898265,4,37.26,
39.99,3.99,1808369,1859762,0,60.10,
29.99,8.74,1771791,1856920,3,41.00,
29.99,7.49,1692371,1847617,2,32.72,
19.99,4.99,1745735,1810406,3,80.46,
29.99,7.49,1744733,1803946,2,80.79,
24.99,7.49,1731455,1784307,4,37.07,
29.99,7.49,1551570,1746321,4,13.62,
19.99,4.99,1629236,1736243,0,80.76,
39.99,7.99,1569107,1727974,3,58.66,
